schema_id,has_under,has_over,under_test_count,over_test_count,correct_test_count,total_test_count,numeric_keyword_count,numeric_keywords_present,numeric_target_type,numeric_is_in_properties,numeric_property_required,numeric_has_default,numeric_has_min_and_max,numeric_parent_keyword,numeric_depth,patternProperties_occurrence_count,patternProperties_pattern_count,patternProperties_with_properties,patternProperties_has_additionalProperties,additionalProperties_value,patternProperties_regex_has_anchor,patternProperties_regex_has_dotstar,patternProperties_regex_has_alternation,patternProperties_regex_has_charclass,patternProperties_regex_complexity_score,not_count,not_depth_min,not_depth_max,not_depth_avg,not_parent_keyword,not_target_type,not_contains_enum,not_contains_const,not_contains_pattern,not_contains_properties,not_contains_required,not_contains_anyOf,not_contains_allOf,not_contains_oneOf,not_sibling_keyword_count,allOf_count,anyOf_count,oneOf_count,combinator_count,combinator_type,combinator_depth_min,combinator_depth_max,combinator_depth_avg,combinator_branch_count_min,combinator_branch_count_max,combinator_branch_count_avg,branches_have_same_type,branches_conflicting_types,branches_have_required,branches_have_properties,branches_have_not,branches_have_enum,branches_overlapping_properties,complex_keywords_same_node_max,complex_keywords_same_node_avg,local_cooccurrence_pairs,has_minimum,has_maximum,has_exclusiveMinimum,has_exclusiveMaximum,has_multipleOf,has_patternProperties,has_not,has_allOf,has_anyOf,has_oneOf,same_node_not_and_enum,same_node_not_and_type,same_node_not_and_pattern,same_node_allOf_and_not,same_node_patternProperties_and_additionalProperties,same_node_properties_and_patternProperties,same_node_properties_and_required,same_node_combinator_and_patternProperties,instance_matching_pattern_keys_count_bucket,not_sibling_keyword_count_bucket,combinator_branch_count_bucket,allOf_satisfied_branch_count_bucket,allOf_satisfied_branch_ratio_bucket,anyOf_satisfied_branch_count_bucket,anyOf_satisfied_branch_ratio_bucket,oneOf_satisfied_branch_count_bucket,oneOf_satisfied_branch_ratio_bucket
Github_medium---o1.json,true,false,3,0,8,11,1,minimum,integer,true,false,false,false,properties,5,0,0,false,false,absent,false,false,false,false,0,0,0,0,0,absent,absent,false,false,false,false,false,false,false,false,0,0,0,0,0,absent,0,0,0,0,0,0,false,false,false,false,false,false,false,2,0.363636,properties+required:2,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,unknown,0,0,unknown,0,unknown,0,unknown,0
Github_medium---o10078.json,false,true,0,1,3,4,0,,absent,false,false,false,false,absent,0,0,0,false,false,absent,false,false,false,false,0,1,5,5,5,items,absent,true,false,false,false,false,false,false,false,1,0,0,0,0,absent,0,0,0,0,0,0,false,false,false,false,false,false,false,3,0.944444,additionalProperties+properties:5|additionalProperties+required:1|properties+required:1,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,unknown,1,0,unknown,0,unknown,0,unknown,0
Github_medium---o10079.json,true,false,1,0,7,8,0,,absent,false,false,false,false,absent,0,0,0,false,false,absent,false,false,false,false,0,0,0,0,0,absent,absent,false,false,false,false,false,false,false,false,0,0,0,0,0,absent,0,0,0,0,0,0,false,false,false,false,false,false,false,3,1,additionalProperties+properties:5|additionalProperties+required:1|properties+required:1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,unknown,0,0,unknown,0,unknown,0,unknown,0
Github_medium---o102.json,false,false,0,0,3,3,0,,absent,false,false,false,false,absent,0,0,0,false,false,absent,false,false,false,false,0,0,0,0,0,absent,absent,false,false,false,false,false,false,false,false,0,0,0,0,0,absent,0,0,0,0,0,0,false,false,false,false,false,false,false,2,0.571429,properties+required:5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,unknown,0,0,unknown,0,unknown,0,unknown,0
Github_medium---o10217.json,false,false,0,0,4,4,0,,absent,false,false,false,false,absent,0,0,0,false,false,absent,false,false,false,false,0,0,0,0,0,absent,absent,false,false,false,false,false,false,false,false,0,0,0,0,0,absent,0,0,0,0,0,0,false,false,false,false,false,false,false,2,0.666667,properties+required:3,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,unknown,0,0,unknown,0,unknown,0,unknown,0
Github_medium---o10297.json,false,false,0,0,3,3,0,,absent,false,false,false,false,absent,0,3,3,false,false,absent,true,false,false,false,25,0,0,0,0,absent,absent,false,false,false,false,false,false,false,false,0,0,0,0,0,absent,0,0,0,0,0,0,false,false,false,false,false,false,false,3,0.567568,additionalProperties+properties:6|additionalProperties+required:6|properties+required:6,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,unknown,0,0,unknown,0,unknown,0,unknown,0
Github_medium---o10314.json,false,true,0,2,4,6,0,,absent,false,false,false,false,absent,0,0,0,false,false,absent,false,false,false,false,0,0,0,0,0,absent,absent,false,false,false,false,false,false,false,false,0,0,0,0,0,absent,0,0,0,0,0,0,false,false,false,false,false,false,false,2,0.333333,properties+required:3,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,unknown,0,0,unknown,0,unknown,0,unknown,0
Github_medium---o1050.json,false,true,0,2,3,5,0,,absent,false,false,false,false,absent,0,0,0,false,false,absent,false,false,false,false,0,0,0,0,0,absent,absent,false,false,false,false,false,false,false,false,0,0,0,0,0,absent,0,0,0,0,0,0,false,false,false,false,false,false,false,1,0.272727,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,unknown,0,0,unknown,0,unknown,0,unknown,0
Github_medium---o10505.json,false,true,0,1,9,10,0,,absent,false,false,false,false,absent,0,0,0,false,false,absent,false,false,false,false,0,0,0,0,0,absent,absent,false,false,false,false,false,false,false,false,0,0,3,0,3,anyOf,1,2,1.66667,2,2,2,true,false,false,false,false,true,false,3,0.333333,additionalProperties+properties:1|additionalProperties+required:1|properties+required:1,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,unknown,0,2,unknown,0,unknown,0,unknown,0
Github_medium---o10517.json,false,true,0,2,6,8,2,minimum,integer,true,true,false,false,properties,10,0,0,false,false,absent,false,false,false,false,0,0,0,0,0,absent,absent,false,false,false,false,false,false,false,false,0,0,0,0,0,absent,0,0,0,0,0,0,false,false,false,false,false,false,false,3,0.529412,additionalProperties+properties:6|additionalProperties+required:5|properties+required:5,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,unknown,0,0,unknown,0,unknown,0,unknown,0
